# algorithm, samples, car_total_laps, laptime_mean(s),  collision_count
mppi, 128, 100, 4.1756, 1066
mppi, 256, 100, 3.9743, 752
mppi, 512, 100, 3.9143, 568
mppi, 1024, 100, 4.0109, 486
mppi, 2048, 100, 3.9604, 458
mppi, 4096, 100, 3.9814, 443
ccmppi, 128, 100, 5.8242, 1765
ccmppi, 256, 100, 7.5400, 423
ccmppi, 512, 100, 4.2422, 674
ccmppi, 1024, 100, 3.7570, 487
ccmppi, 2048, 100, 3.6095, 382
ccmppi, 4096, 100, 3.6590, 383
